Match,BPrev,BStreak,B_Age,B_Age Group,B_Height,B_ID,B_Weight,RPrev,RStreak,R_Age,R_Age_Group,R_Height,R_ID,R_Weight,winner,Blue Impact,Red Impact Score
661,2,1,27,20's,182,2755,84,2,1,30,30's,185,2782,84,red,8074,1146
662,3,0,33,30's,175,1066,77,5,5,33,30's,185,1076,77,red,10000,13539
663,1,0,23,20's,167,2118,56,1,0,36,30's,175,2041,65,blue,4389,632
664,1,1,41,40's,177,1953,77,1,1,35,30's,185,2227,77,red,772,1341
665,1,1,30,30's,182,2124,77,1,1,25,20's,175,2070,84,red,3909,4144
666,0,0,29,20's,180,2698,77,3,0,28,20's,177,2268,77,red,0,6233
667,1,0,30,30's,187,2264,84,0,0,37,30's,185,2062,84,blue,4814,0
668,1,0,26,20's,177,2704,65,1,1,25,20's,170,2655,65,red,1764,1433
669,0,0,31,30's,177,1891,70,1,1,29,20's,175,1983,70,blue,0,3693
670,1,0,30,30's,165,2142,56,1,0,26,20's,160,1966,61,red,4421,2801
671,3,3,29,20's,185,2269,77,1,1,32,30's,185,2334,77,blue,9032,1574
672,1,1,36,30's,190,1810,84,0,0,35,30's,185,449,84,red,3800,0
673,1,1,29,20's,175,2018,61,1,1,26,20's,165,2210,61,blue,28415,769
674,0,0,34,30's,167,2748,61,1,1,25,20's,172,2369,61,red,0,4098
675,0,0,37,30's,180,1403,84,0,0,38,30's,185,368,84,blue,0,0
676,1,1,40,40's,187,797,93,5,1,33,30's,187,503,93,red,1456,14415
677,0,0,20,20's,180,2836,70,0,0,23,20's,172,2837,70,red,0,0
678,1,1,28,20's,182,2754,84,2,2,26,20's,177,2586,77,draw,3838,5121
679,0,0,30,30's,167,2260,61,0,0,34,30's,170,2256,56,red,0,0
680,0,0,27,20's,180,2179,70,0,0,31,30's,182,2180,77,blue,0,0
681,3,1,27,20's,177,2168,70,2,2,32,30's,175,2208,70,blue,3005,2194
682,0,0,31,30's,162,2350,52,0,0,34,30's,165,2341,52,red,0,0
683,3,1,34,30's,182,485,84,4,1,30,30's,187,1550,84,red,5056,11987
684,2,0,32,30's,170,533,65,3,1,35,30's,170,459,65,blue,6007,7025
685,0,0,29,20's,175,2121,84,0,0,30,30's,187,1550,84,blue,0,0
686,0,0,25,20's,182,2329,77,1,1,34,30's,180,2162,77,red,0,4164
687,7,1,30,30's,180,1783,77,10,2,29,20's,190,2047,77,blue,16767,34452
688,0,0,23,20's,162,2217,56,1,0,28,20's,165,1504,56,red,0,3811
689,1,0,38,30's,177,1296,77,0,0,27,20's,177,2506,77,blue,797,0
