BPrev,BStreak,B_Age,B_Height,B_HomeTown,B_ID,B_Location,B_Name,B_Weight,Date,Event_ID,Fight_ID,Last_round,Max_round,RPrev,R_Age,R_Height,R_HomeTown,R_ID,R_Location,R_Name,R_Weight,winby,winner
1,1,26,180,Niigata Prefecture Japan,2964,Tokyo Japan,Daichi Abe,77,2/11/2018,857,7069,3,3,2,30,180,"Hamilton, Waikato New Zealand",2891,"Hamilton, Waikato New Zealand",Luke Jumeau,77,DEC,red
3,3,26,180,"Surrey, British Columbia Canada",2807,"Surrey, British Columbia Canada",Jeremy Kennedy,65,7/7/2018,857,7077,2,3,3,29,200,Moscow Russia,2824,Moscow Russia,Alexander Volkanovski,113,KO/TKO,red
6,0,40,175,Matanzas Cuba,768,"Matanzas, Cuba United States",Hector Lombard,84,3/5/2018,858,7026,1,3,6,35,187,"Mt. Gilead, Ohio United States",507,"Tempe, Arizona United States",CB Dollaway,84,,red
10,1,39,190,Minsk Belarus,367,"Chicago, Illinois United States",Andrei Arlovski,109,3/5/2018,858,7064,3,3,6,30,213,Beverwijk The Netherlands,649,Beverwijk The Netherlands,Stefan Struve,120,DEC,blue
0,0,25,162,"Glendale, Arizona United States",3054,"Glendale, Arizona United States",Mackenzie Dern,52,3/4/2018,858,7092,3,3,2,30,170,"Indianapolis, Indiana United States",2845,"Temecula, California United States",Ashley Yoder,52,DEC,blue
3,3,27,172,"Manaus, Amazonas Brazil",2809,"Manaus, Amazonas Brazil",Ketlen Vieira,61,3/5/2018,858,7095,3,3,3,,,,2017,,Cat Zingano,,DEC,blue
3,1,29,175,"Providence , Rhode Island United States",2874,"Lake Worth, Florida United States ",Andre Soukhamthath,61,3/5/2018,858,7096,3,3,2,23,180,"Helena, Montana United States",2917,"Glendale, Arizona United States",Sean O'Malley,61,DEC,red
2,2,28,167,"Grand Rapids, Michigan United States",2930,"Sparta, Michigan United States",Cody Stamann,61,3/5/2018,858,7097,3,3,4,34,172,"Goldendale, Washington United States",1184,"Las Vegas, Nevada United States",Bryan Caraway,61,DEC,blue
2,0,31,190,"Calvert County, Maryland United States",2763,"Pittsburgh, Pennsylvania United States",Adam Milstead,93,3/4/2018,858,7098,3,3,2,29,187,"Richmond, Virginia United States",2856,"San Diego, California United States",Jordan Johnson,93,DEC,red
8,4,32,167,Sao Paulo Brazil,2191,Sao Paulo Brazil,Pedro Munhoz,61,3/5/2018,858,7132,3,3,7,34,160,"Albuquerque, New Mexico United States",1904,"Albuquerque, New Mexico United States",John Dodson,61,DEC,red
0,0,28,167,Murmansk Russia,3053,"Albuquerque, New Mexico United States",Yana Kunitskaya,65,3/5/2018,858,7133,1,5,4,33,172,Curitiba Brazil,1194,"Huntington Beach, California United States",Cris Cyborg,65,KO/TKO,red
6,5,27,172,"Los Angeles, California United States ",2238,"Los Angeles, California United States ",Brian Ortega,65,3/5/2018,858,7134,1,3,7,36,167,"Summit, New Jersey United States",451,"Toms River, New Jersey United States",Frankie Edgar,65,KO/TKO,blue
4,0,31,180,"Milwaukee, Wisconsin United States",2826,"Milwaukee, Wisconsin United States",Zak Ottow,77,3/6/2018,858,7135,1,3,6,43,182,"Dresden, Tennessee United States",870,"Las Vegas, Nevada United States",Mike Pyle,77,KO/TKO,blue
0,0,26,175,"St. Louis, Missouri United States",3058,"San Antonio, Texas United States",Alexander Hernandez,70,3/4/2018,858,7151,1,3,12,29,177,Goetapeh Iran,2168,"Yorba Linda, California United States",Beneil Dariush,70,KO/TKO,blue
4,1,31,177,Toulouse France,2756,Albuquerque New Mexico,Thibault Gouti,70,2/19/2018,859,7054,3,3,6,22,182,"Houston, Texas United States",2628,"Katy, Texas United States",Sage Northcutt,77,DEC,red
5,0,32,190,Uniejow Poland,2753,Uniejow Poland,Marcin Tybura,113,2/19/2018,859,7055,3,3,12,33,190,"New Orleans, Louisiana United States",2082,"Houston, Texas United States",Derrick Lewis,118,KO/TKO,red
2,0,27,187,"Alameda, California  United States",2842,"Englewood, California United States",Brian Camozzi,77,2/19/2018,859,7070,1,3,1,28,180,"Austin, Texas United States",2963,"Dallas, Texas United States",Geoff Neal,77,SUB,red
5,2,27,167,"Albuquerque, New Mexico United States",2311,"Alburquerque, New Mexico United States",Joby Sanchez,56,2/19/2018,859,7071,1,3,1,32,167,"Houston, Texas United States ",2956,"Houston, Texas United States ",Roberto Sanchez,56,SUB,red
2,1,24,172,Pribram Czech Republic,2879,Pribram Czech Republic ,Lucie Pudilova,61,2/19/2018,859,7072,3,3,3,30,170,"Kelowna, British Columbia Canada",2240,"Kelowna, British Columbia Canada",Sarah Moras,61,DEC,blue
11,1,40,175,"Amarante, Piaui Brazil",1997,"Brasilia, Distrito Federal Brazil",Francisco Trinaldo,70,2/19/2018,859,7093,3,3,8,31,190,"Olney, Texas United States",1984,"Fort Worth, Texas United States",James Vick,70,DEC,red
5,1,33,175,"Careiro da Várzea, Amazonas Brazil",2208,"Pharr, Texas USA",Diego Ferreira,70,2/19/2018,859,7094,1,3,2,30,175,"New York City, New York United States",2890,"Astoria, New York United States",Jared Gordon,70,KO/TKO,blue
2,0,28,177,"Atlanta , Georgia United States",2944,"D'Iberville, Mississippi United States",Brandon Davis,65,2/19/2018,859,7100,3,3,1,28,175,"Los Angeles, California United States",2985,"Dallas, Texas United States",Steven Peterson,65,DEC,blue
0,0,30,190,"San Bernardino, California United States",2419,"Fullerton, California United States",Curtis Millender,77,2/19/2018,859,7104,2,3,5,35,175,Fortaleza Brazil,511,"Coconut Creek, Florida United States",Thiago Alves,77,KO/TKO,blue
4,0,28,180,"Houston, Texas United States",2737,"Houston, Texas United States",Alex Morono,77,2/19/2018,859,7129,1,3,8,38,177,"Salt Lake City, Utah United States",407,"Draper, Utah United States",Joshua Burkman,77,SUB,blue
0,0,32,187,"Millville, New Jersey United States",2943,"Millville, New Jersey United States",Tim Williams,84,2/19/2018,859,7138,1,3,1,28,182,Gdansk Poland,2992,Gdynia Poland,Oskar Piechota,84,KO/TKO,red
10,0,36,182,"Lafayette, Louisiana United States",2291,"Los Angeles, California United States",Alan Jouban,77,2/24/2018,860,7048,2,3,6,35,187,"Fort Lauderdale, Florida United States",502,"Orlando, Florida United States",Ben Saunders,77,KO/TKO,blue
7,3,29,154,"Fall River, Massachusetts United States",2340,"Colorado Springs, Colorado United States",Tecia Torres,52,2/25/2018,860,7063,3,3,10,27,157,"Umuarama, Parana Brazil",2079,"Niteroi, Rio de Janeiro Brazil",Jessica Andrade,52,DEC,red
3,0,32,180,"Santa Barbara, California United States",2805,"Sacramento, California United States",Max Griffin,77,6/6/2018,860,7083,3,3,6,27,177,"Flint, Michigan United States",2813,"Orlando, Florida United States",Mike Perry,77,DEC,blue
3,1,32,167,"Oceanside, New York United States",2895,"Selden, New York United States",Brian Kelleher,61,2/25/2018,860,7084,3,3,7,31,167,Natal Brazil,1527,Rio de Janeiro Brazil,Renan Barao,61,DEC,blue
0,0,30,190,Warsaw Poland,3045,Warsaw Poland,Marcin Prachnio,93,6/7/2018,860,7085,1,3,13,32,187,"Milwaukee, Wisconsin United States",2264,"Temecula, California United States",Sam Alvey,93,KO/TKO,red
