B_Age,B_Height,B_ID,B_Weight,Event_ID,Fight_ID,R_Age,R_Height,R_ID,R_Weight,winner
35,165,438,61,727,5493,34,165,1034,61,blue
36,170,1401,61,713,5292,28,172,1719,61,red
34,193,1852,109,695,5067,33,193,535,108,red
26,172,2154,65,770,6048,27,180,2375,65,red
39,182,1866,84,794,6337,32,187,1769,84,blue
32,187,663,77,787,6228,39,185,326,77,red
34,167,1882,61,733,5574,28,177,2274,56,red
27,177,2296,56,807,6481,32,162,2095,56,red
27,170,2054,61,663,4743,35,180,454,61,red
26,172,2238,65,717,5481,32,170,533,65,blue
32,182,2802,70,787,6230,30,182,2507,70,blue
34,167,1999,61,652,4584,30,175,2088,61,blue
30,180,1916,65,662,4712,33,170,1994,65,red
32,165,1091,56,675,4841,38,167,1170,61,blue
26,165,2210,61,791,6258,32,167,1044,61,red
29,172,2266,61,770,6066,26,160,1966,61,red
27,175,2797,70,806,6449,27,187,2815,70,red
27,165,2235,61,679,4968,30,167,2260,61,blue
34,187,2300,93,783,6182,30,195,1139,93,red
34,180,2730,70,756,5898,30,172,1622,70,red
35,180,471,77,653,4628,33,175,947,84,red
27,190,2281,93,770,6049,35,185,457,93,red
29,167,2091,56,667,4745,26,165,2103,56,red
29,170,2603,52,733,5515,31,167,2339,52,red
30,190,2234,109,672,4824,26,190,2233,109,blue
29,165,2731,61,779,6130,35,172,2317,65,blue
39,182,295,84,770,5981,37,185,896,84,red
24,177,2822,70,799,6407,27,180,2377,70,blue
33,172,2265,56,698,5122,28,177,2274,56,red
36,182,435,84,660,4717,32,190,1294,84,red
29,180,2370,84,712,5290,34,182,1827,84,red
26,172,2292,70,726,5443,32,167,2207,70,red
34,170,2256,56,739,5612,25,170,2465,52,blue
34,175,778,70,690,5047,30,177,1069,65,red
32,177,2726,65,798,6306,37,172,374,65,blue
30,177,2288,70,678,4875,28,180,2129,77,blue
36,167,2347,52,773,6093,31,160,2678,52,red
29,180,2297,77,693,5063,30,182,2250,77,blue
31,170,2310,77,679,4965,35,182,2186,77,red
33,172,1864,65,647,4669,29,172,1858,61,red
27,177,2262,70,749,5674,33,180,1871,70,blue
35,190,2803,84,799,6384,31,182,2272,84,blue
26,167,2859,56,806,6503,26,165,2858,56,red
26,177,2429,70,781,6106,33,175,2558,70,red
28,180,2778,77,780,6122,35,182,2291,77,red
27,167,2354,61,769,6030,30,165,2255,61,blue
32,180,2316,70,777,6062,36,177,407,77,blue
25,170,2465,52,714,5348,31,167,2339,52,blue
29,175,2121,84,688,4995,28,185,2224,84,red
28,175,2057,70,753,5689,30,170,1052,65,blue
41,187,235,84,778,6202,38,180,1409,93,red
40,180,2226,77,674,4863,29,177,2229,77,blue
34,175,2123,65,682,4900,31,180,2214,65,red
38,185,368,84,763,5874,41,187,235,84,blue
30,172,2574,70,743,5620,28,172,2573,70,red
34,180,2366,104,756,5890,37,187,375,109,red
35,177,648,70,733,5517,32,172,875,70,blue
27,177,1531,65,739,5564,25,180,1936,65,red
37,193,1431,119,752,5682,43,177,735,120,red
27,165,2134,56,704,5241,23,167,2118,56,blue
28,180,2129,77,758,5768,30,182,2107,77,red
34,182,1594,84,719,5376,32,182,2069,84,blue
30,182,2747,84,774,6051,35,180,1452,84,draw
27,177,2296,56,696,5137,33,170,2165,61,red
24,175,2157,70,701,5194,35,167,2074,70,blue
27,185,2173,77,696,5133,32,182,1820,77,red
33,187,1952,77,802,6396,29,180,2469,77,no contest
23,162,2217,56,802,6457,25,175,2166,56,blue
33,175,2128,65,745,5758,32,177,1486,65,red
28,182,2228,77,700,5185,35,182,2291,77,red
32,172,1980,65,771,5989,33,172,1050,65,red
37,182,2800,70,786,6214,28,175,2734,70,red
37,182,387,84,771,5984,37,187,1968,93,red
30,167,2309,61,792,6417,30,172,2358,61,blue
31,172,2190,65,766,6019,27,182,2254,65,red
30,175,2330,65,686,4978,38,170,366,65,red
34,182,1827,84,698,5117,32,182,2069,84,red
24,180,2807,65,810,6525,33,170,1994,65,blue
30,187,2061,93,724,5595,38,185,2245,84,red
36,195,2799,120,796,6330,23,187,2658,110,red
32,160,2352,52,804,6511,25,160,2079,52,red
30,172,2023,70,800,6358,31,180,2243,70,blue
32,182,2069,84,795,6304,31,187,786,84,red
33,185,1806,84,699,5197,36,185,419,93,blue
30,182,668,77,752,5685,37,185,1549,77,red
33,175,2558,70,801,6394,32,172,2773,70,red
34,182,1944,77,809,6497,34,175,1386,77,red
32,172,1184,61,777,6079,27,170,2177,61,blue
35,185,2227,77,724,5557,26,180,2247,77,red
30,177,2042,70,776,6170,32,172,875,70,blue
31,165,2328,52,803,6486,31,170,2710,52,blue
37,165,2462,56,782,6209,27,165,2134,56,red
27,182,1176,77,721,5355,35,180,471,77,red
33,182,2087,84,778,6084,31,187,786,84,red
33,175,2558,70,738,5549,29,175,2378,70,blue
35,203,2194,115,681,4896,32,182,1850,118,red
32,177,524,70,778,6085,35,177,461,70,blue
25,175,2070,84,689,5010,31,175,965,77,blue
29,170,1906,65,675,4840,28,175,2057,70,red
25,177,2466,70,789,6279,29,177,2313,70,blue
39,187,2197,112,667,4742,39,193,306,120,red
26,185,2204,77,813,6561,29,182,2587,77,red
29,175,2289,65,678,4941,34,177,2287,70,blue
27,185,2242,65,672,4694,34,175,2123,65,blue
29,185,1926,84,732,5593,29,190,2066,84,red
31,175,2073,70,775,6073,31,180,2243,70,red
31,175,2073,70,746,5642,31,175,542,70,blue
30,193,546,84,790,6242,37,182,372,84,red
33,177,514,70,698,5118,30,180,2036,70,blue
41,177,1953,77,694,5038,40,180,2226,77,blue
38,193,367,109,719,5346,34,200,1515,115,blue
32,160,2352,52,720,5360,27,154,2340,52,red
25,180,2588,77,811,6513,25,182,2329,77,red
25,175,2784,70,781,6132,33,180,1815,70,red
33,177,2060,93,783,6157,33,187,503,93,red
30,180,2036,70,662,4710,37,182,2078,70,draw
26,165,2610,56,738,5618,23,162,2217,56,red
29,177,2192,61,684,4988,35,165,438,61,red
29,175,2130,77,653,4648,29,177,2053,77,blue
30,180,2826,77,790,6244,36,177,407,77,blue
30,187,1550,84,797,6320,39,182,2324,84,red
29,167,2280,52,695,5108,28,162,2277,52,blue
30,177,942,77,802,6399,35,187,455,77,red
26,177,2119,65,713,5293,29,170,1993,65,red
33,162,2016,56,675,4844,37,162,2196,56,red
36,175,2041,65,727,5521,31,172,1978,65,red
27,190,2281,93,811,6519,37,185,2009,93,red
24,180,2312,65,682,4922,25,180,1936,65,red
28,190,2302,84,811,6516,27,185,2030,84,red
30,172,2308,61,749,5756,25,170,2325,61,red
32,165,2577,61,724,5598,34,170,2571,61,red
37,172,2276,61,732,5513,30,170,2164,65,blue
33,167,2007,56,719,5347,32,162,911,56,red
38,175,1997,70,739,5610,30,177,2222,70,blue
33,162,2178,61,663,4697,32,165,1935,61,red
27,162,2589,61,733,5575,31,162,1913,61,blue
28,177,1755,65,673,4868,37,167,959,61,red
33,187,502,77,803,6423,32,180,1543,77,blue
35,180,1452,84,758,5765,27,187,2246,84,no contest
29,177,2313,70,773,6022,30,172,2023,70,red
30,180,2239,70,668,4838,32,180,2019,70,red
33,187,2827,109,795,6344,28,193,2788,109,red
26,0,2875,111,809,6494,33,187,2827,109,red
28,175,2529,70,726,5469,29,175,2089,70,blue
34,175,2221,61,689,5081,30,167,2099,61,red
38,185,346,84,673,4703,32,187,1769,84,red
30,167,1527,65,729,5454,31,167,1905,61,red
28,180,2778,77,789,6234,32,185,2334,77,blue
32,177,2762,70,766,6046,33,180,2101,70,red
26,165,2610,56,756,5891,25,167,2311,56,blue
35,187,2218,84,661,4723,29,185,1926,84,red
32,190,2425,120,811,6521,34,182,2083,112,blue
31,175,542,70,685,4946,37,182,2078,70,red
26,160,1966,61,699,5174,32,165,1091,56,blue
32,182,1422,77,667,4749,33,180,1871,70,blue
27,175,2271,65,671,4916,34,177,915,70,red
25,172,2335,65,764,5937,32,175,2193,65,blue
29,190,2047,77,687,5028,25,180,2077,77,blue
39,182,2324,84,809,6563,37,182,387,84,blue
30,193,546,84,750,5703,29,190,2066,84,blue
30,175,2202,65,750,5734,32,185,522,65,no contest
32,190,2200,77,666,4819,39,185,326,77,red
28,177,1755,65,774,6101,32,185,522,65,blue
37,193,1431,119,791,6254,40,182,1015,119,red
32,170,961,61,779,6140,36,167,2304,61,blue
39,193,308,104,720,5353,34,185,497,109,blue
28,167,2345,52,804,6505,27,154,2340,52,red
32,172,2185,70,688,5014,30,177,2222,70,red
26,190,2233,109,744,5649,32,190,2082,118,red
30,190,1984,70,804,6452,33,172,2013,70,blue
38,177,1296,77,816,6592,32,182,1422,77,red
39,182,295,84,719,5344,32,187,1769,84,red
36,172,1078,77,756,5717,33,185,2055,77,red
33,175,2145,70,783,6211,32,167,2207,70,red
30,162,2299,56,704,5240,35,160,1253,56,blue
36,177,1478,70,660,4774,37,175,1061,70,red
25,175,2070,84,746,5641,29,190,2047,77,red
