,fighter1,fighter2,winner,weight_class,title_fight,method,end_round,fight_year,win_fighter1,lose_fighter1,draw_fighter1,nc_fighter1,height_fighter1,reach_fighter1,stance_fighter1,SLpM_fighter1,Str_Acc_fighter1,SApM_fighter1,Str_Def_fighter1,TD_Avg_fighter1,TD_Acc_fighter1,TD_Def_fighter1,Sub_Avg_fighter1,win%_fighter1,born_year_fighter1,win_fighter2,lose_fighter2,draw_fighter2,nc_fighter2,height_fighter2,reach_fighter2,stance_fighter2,SLpM_fighter2,Str_Acc_fighter2,SApM_fighter2,Str_Def_fighter2,TD_Avg_fighter2,TD_Acc_fighter2,TD_Def_fighter2,Sub_Avg_fighter2,win%_fighter2,born_year_fighter2
1380,Spencer Fisher,Dennis Siver,0,Lightweight,f,DEC,3,2010,25,9,0,0,"5' 7""","70""",Southpaw,3.17,43.0,3.03,64.0,0.67,30.0,60.0,0.8,73.52941,1976,23,11,0,1,"5' 6""","70""",Orthodox,3.87,32.0,2.67,65.0,0.87,32.0,65.0,0.3,65.71429,1979
1381,Rich Attonito,Jamie Yager,1,Middleweight,f,KO/TKO,2,2010,10,5,0,0,"5' 10""","72""",Orthodox,2.28,47.0,2.13,59.0,0.74,37.0,75.0,0.0,66.666664,1977,5,2,0,0,"6' 1""",,Orthodox,3.08,39.0,2.55,63.0,0.0,0.0,66.0,0.0,71.42857,1983
1382,Mark Holst,John Gunderson,0,Lightweight,f,DEC,3,2010,9,3,0,0,"6' 0""",,Orthodox,0.25,19.0,1.67,47.0,0.76,100.0,60.0,2.3,75.0,1985,32,12,2,0,"5' 9""","69""",Orthodox,1.04,27.0,1.71,58.0,1.67,33.0,11.0,2.0,69.565216,1979
1383,Brad Tavares,Seth Baczynski,1,Middleweight,f,DEC,3,2010,17,6,0,0,"6' 1""","74""",Orthodox,3.02,40.0,2.73,55.0,1.04,27.0,77.0,0.0,73.91304,1987,18,11,0,0,"6' 3""","74""",Orthodox,3.08,31.0,3.14,51.0,0.89,16.0,48.0,0.8,62.068966,1981
1384,Kyle Noke,Josh Bryant,1,Middleweight,f,KO/TKO,2,2010,22,10,1,0,"6' 1""","76""",Southpaw,3.23,50.0,2.09,64.0,1.53,54.0,66.0,0.8,66.666664,1980,12,1,0,0,"5' 10""",,Orthodox,1.1,20.0,6.1,43.0,0.0,0.0,0.0,0.0,92.30769,1980
1385,James Hammortree,Chris Camozzi,0,Middleweight,f,DEC,3,2010,6,2,0,0,"6' 3""",,Orthodox,1.93,30.0,4.13,44.0,2.0,50.0,100.0,1.0,75.0,1983,24,13,0,0,"6' 2""","76""",Orthodox,3.57,44.0,2.96,56.0,0.27,19.0,57.0,0.5,64.86487,1986
1386,James McSweeney,Travis Browne,0,Heavyweight,f,KO/TKO,1,2010,6,9,0,0,"6' 4""","77""",Switch,3.94,55.0,4.33,42.0,0.52,33.0,100.0,1.1,40.0,1980,18,7,1,0,"6' 6""","79""",Orthodox,2.93,41.0,4.31,42.0,1.21,68.0,75.0,0.2,69.23077,1982
1387,Brock Lesnar,Shane Carwin,1,Heavyweight,t,SUB,2,2010,5,3,0,1,"6' 3""","81""",Orthodox,3.53,72.0,2.11,50.0,3.9,55.0,60.0,0.5,55.555557,1977,12,2,0,0,"6' 2""","80""",Orthodox,4.38,47.0,3.53,53.0,1.42,33.0,42.0,0.0,85.71429,1975
1388,Chris Leben,Yoshihiro Akiyama,1,Middleweight,f,SUB,3,2010,22,11,0,0,"5' 11""","74""",Southpaw,2.87,42.0,2.87,52.0,1.14,41.0,53.0,0.8,66.666664,1980,14,6,0,2,"5' 10""","73""",Orthodox,3.1,41.0,3.62,57.0,2.29,67.0,92.0,1.0,63.636364,1975
1389,Chris Lytle,Matt Brown,1,Welterweight,f,SUB,2,2010,31,18,5,0,"5' 11""","68""",Orthodox,3.76,45.0,3.03,58.0,0.7,55.0,55.0,2.4,57.407406,1974,23,16,0,0,"6' 0""","75""",Orthodox,3.78,53.0,2.64,56.0,1.57,46.0,63.0,1.6,58.974358,1981
